,uid,source,SQN,text,origin,entity,entity_type,links
0,502827524150534145,twitter,0,Can Mark Wahlberg Transform Focus Of BP Disaster Movie httptcoILZn5GloCU moviesteem httptcoNoxzdDnRGM movie,,Deepwater Horizon film,Movie,https://twitter.com/moviesteem/status/502827524150534145
1,501945488959369217,twitter,0,MarkWahlberg is in talks to star in BP oil rig disaster moviebut what would this mean for the Wahlburgers httptcoE6Osrskf4G,,Deepwater Horizon film,Movie,https://twitter.com/THR/status/501945488959369217
2,495613146720378880,twitter,0,What Marvel amp James Gunn managed to do in a movie introducing 5 new characters amp a whole other side of the MCU is incredibly impressive,,Guardians of the Galaxy film,Movie,https://twitter.com/randomlyrossy/status/495613146720378880
3,503735231846051840,twitter,0,SUPER by James Gunn JamesGunn Anyone who ever even contemplated seeing this movie should see it Just saw it for the 1st time blown away,,Guardians of the Galaxy film,Movie,https://twitter.com/tonywolfness/status/503735231846051840
4,503902537519734784,twitter,0,The best movie best book best story Thanks Veronica Roth and thanks Neil Burger httptco3GyRg6VAx5,,Divergent film,Movie,https://twitter.com/LorenaMartine59/status/503902537519734784
5,497917114125004800,twitter,0,I love the Veronica Roth cameo in the movie,,Divergent film,Movie,https://twitter.com/naturallysheo/status/497917114125004800
6,503034701574324224,twitter,0,amvanimere love a Richard Linklater movie,,Boyhood film,Movie,https://twitter.com/Jim_Nowhere/status/503034701574324224
7,497993676316868608,twitter,0,Sometimes it feels like youre living in a Richard Linklater movie Some other times it feels like youre in a Shruthi movie lyf,,Boyhood film,Movie,https://twitter.com/SingInTheRine/status/497993676316868608
8,500226180801241088,twitter,0,Movie review Boyhood is Richard Linklaters touching beautiful masterpiece The director shot the movie over httptcoKOkitu2mZV,,Boyhood film,Movie,https://twitter.com/grandrapidsday/status/500226180801241088
9,503727384282292225,twitter,0,Saw this movie today and loved it without reservation What an amazing feat And what a risk Richard Linklater httptcohaGlxYHjjf,,Boyhood film,Movie,https://twitter.com/davidgans/status/503727384282292225
10,495783035137060865,twitter,0,Is Ellar Coltrane the first kid we all truly saw grow up So unique Game changing movie The icing on top is that it so Texas Oscar,,Boyhood film,Movie,https://twitter.com/Chris_Hopetx/status/495783035137060865
11,499384298487554048,twitter,0,ChrisNolfo Movie Magnum Yeah the movie went where Ellar Coltrane was in his life at the time Nails painted haircuts photography,,Boyhood film,Movie,https://twitter.com/nickdahhhden/status/499384298487554048
12,497144483243249665,twitter,0,The only Zack Snyder movie to open in the last week of March was Sucker Punch which lost a ton Date has nothing to do with Snyders past,,Batman v Superman Dawn of Justice,Movie,https://twitter.com/DavidPoland/status/497144483243249665
13,504854429950935040,twitter,0,Ansel Elgort amp Shailene Woodley were brother and sister in one movie then two people in love with cancer in another I dont like that,,The Fault in Our Stars film,Movie,https://twitter.com/CourtneyJeanZ/status/504854429950935040
14,504850567806849025,twitter,0,heres when the movie starts getting sad augustus tells hazel his cancer came back,,The Fault in Our Stars film,Movie,https://twitter.com/LyricalSunset7/status/504850567806849025
15,502028756584644608,twitter,0,My favorite TFIOS moment was when St August finally fixed the fault in his star and healed Hazel from cancer 1010 movie,,The Fault in Our Stars film,Movie,https://twitter.com/DewShpag/status/502028756584644608
16,505126927301349376,twitter,0,Scarlett Johansson is a murdering alien but the most unbelievable part of the movie is that she understands what these people are saying,,Under the Skin 2013 film,Movie,https://twitter.com/TommyHajj/status/505126927301349376
17,505805195100815360,twitter,0,Gareth Edwards was about to dissapointing me but in the end BAM He made me realize why the movie is how it is,,Godzilla 2014 film,Movie,https://twitter.com/TokuDeka/status/505805195100815360
